,0
dolor,pain
buen,good
columna,spine
quiropraxia,chiropractic
tratamiento,treatment
hueso,bone
ayudar,help
aliviar,relieve
tecnica,technique
cuerpo,body
persona,person
muscular,muscular
mejor,better
quiropractico,chiropractor
problema,problem
tipo,type
practica,practice
bien,good
medico,doctor
sentir,feel
eficaz,effective
ayuda,aid
considerar,consider
tratar,treat
conocer,know
medicina,medicine
experiencia,experience
profesional,professional
resultado,result
metodo,method
mejorar,improve
postura,posture
estres,stress
musculo,muscle
vertebral,vertebral
dia,day
espalda,back
opcion,option
mal,evil
vez,time
base,base
alivio,relief
estudio,study
articulacion,joint
siempre,always
tiempo,time
familiar,relatives
estudiar,study
medicamento,medicine
dolencia,disease
calmar,calm
usar,use
servir,useful
realizar,perform
solo,only
corregir,correct
asi,like that
quiropractica,quiropractica
alternativa,alternative
presentar,introduce
bastante,quite
evitar,avoid
convencional,conventional
sufrir,suffer
relajar,relax
menos,less
preferir,prefer
cientifico,scientific
tema,topic
comprobado,checked
despues,after
acomodar,accommodate
movimiento,motion
malo,room
ciencia,science
posicion,position
natural,natural
oseo,osseous
lumbar,lumbar
seguro,safe
diario,diary
parte,part
cientificamente,scientifically
amigo,friend
masaje,massage
vertebra,vertebra
practicar,practice
creencia,belief
trabajar,work
salud,health
adecuado,appropriate
lugar,place
cosa,thing
ano,year
solucion,solution
fisioterapia,physiotherapy
bienestar,well-being
general,general
existir,exist
afeccion,condition
tension,tension
cuello,neck
encantar,love it
relajado,relaxed
utilizar,use
efectivo,effective
pasada,rub
lograr,achieve
personalmente,personally
futuro,future
atender,to meet
disminuir,decrease
forma,shape/form
reducir,reduce
importante,important
tradicional,traditional
tomar,take
confianza,trust
directamente,directly
debido,due to
sistema,system
incluso,even
disciplina,discipline
especialista,specialist
probado,tested
especialidad,specialty
causar,cause
personal,personal
hernia,hernia
pensar,think
humano,human
relajante,relaxing
sensacion,sensation
mantener,keep
enfermedad,disease
recomendado,recommended
q,q
condicion,condition
probar,test
pastilla,pill
dedicar,practice
trastorno,disorder
centro,center
bueno,good
sesion,session
ahora,now
video,video
preciso,necessary
resultar,result
linea,line
carrera,training
avalado,guaranteed
mejora,improvement
movilidad,mobility
lesion,injury
eficacia,effectiveness
liberar,release
cadera,hip
contractura,contracture
terapia,therapy
pedir,ask
directo,straight
fuerte,strong
cuy,guinnea pig
testimonio,testimony
util,util
capacitado,trained
necesario,necessary
intervencion,intervention
aumentar,increase
favorecer,favor
mayor,larger
rendimiento,performance
fisico,physical
certificado,certified
analgesico,analgesic
tocar,touch
ajustar,adjust
recomendar,recommend
mayoria,most
traves,through
detectar,detect
cervical,cervical
medio,half
favorable,favorable
inmediato,immediate
adema,Adem
efecto,effect
etc,etc
prolongado,prolonged
area,area
multiple,multiple
soler,often
alternativo,alternative
postural,postural
ocasion,chance
junto,together
vivir,live
necesidad,need
recibir,receive
sobado,rub
limpio,clean
curar,heal
permitir,allow
verdad,truth
caso,case
asimismo,in addition
nino,child
dentro,within
radiografia,radiography
pulmon,lung
diagnostico,diagnosis
diagnosticar,diagnose
tia,aunt
casi,almost
curandero,healer
salir,go out
rinon,kidney
proceso,process
abuelo,grandfather
ancestral,ancestral
observar,notice
conocido,acquaintance
sobar,rub
ecografia,ultrasound
elegir,choose
doctor,doctor
sobada,rub
malestar,discomfort
minuto,minutes
morir,die
entonces,then
acer,do
dano,damage
veces,times
enfermo,sick
familia,family
hijo,son
estomago,stomach
aportar,contribute
energia,energy
vitamina,vitamin
paciente,patient
costumbre,habit
organo,organ
tratado,treated
propio,own
absorber,absorb
susto,fright
cura,healing
reflejar,reflect
realmente,really
organismo,organism
completo,full
sufrser,Suffer
ovario,ovary
clase,class
brujeria,witchcraft
utilizado,used
entorno,environment
exacto,exact
origen,origen
aquejar,Aquear
equivaler,equivalent
realizarce,realize
eficiente,efficient
garantacer,garantacer
ponganla,put
consultar,consult
poblacion,population
rural,rural
termino,TERMS
buena,good
noche,evening
primeramente,firstly
taaan,so
cirugia,Surgendia
comienzo,beginning
farmaco,drug
situacion,situation
igual,equal
hombro,shoulder
rodilla,knee
sanar,announce
pueblo,pueblo
lima,lima
iso,iso
comprar,comprar
negro,negro
macho,macho
grande,grande
sobo,room
orandome,orandome
descansar,rest
siguiente,following
claro,Of course
instantaneamente,instantly
pelo,hair
enviar,send
morado,purple
animar,beyond
serio,serious
oportunidad,chance
podia,could
lanzar,launch
senor,senor
luego,then
tripa,gut
enredado,tangled
mostro,monster
desenredo,dishonor
embarazado,pregnant
pequeno,small
empeorar,worsen
diferencia,difference
aurio,aurio
adulto,adult
aparte,apart
air,air
luz,light
muchisimo,lots
calcio,calcium
crecimiento,growth
desarrollo,development
zona,area
comunmente,commonly
usado,used
pasado,past
ain,ain
atravez,perhaps
experto,expert
trabajo,work
escogi,I chose
comprobe,check
escojiir,Ech
padre,padre
bes,bes
ignorante,ignorant
determinar,determine
esposo,husband
chiquito,Chiquito
reflexologia,reflexology
pie,foot
punto,point
conectar,connect
especifico,specific
relajacion,relaxation
mente,mind
sano,healthy
aplicar,apply
correctamente,correctly
resto,rest
positivo,positive
estimular,stimulate
m,m
deir,deir
tecnico,technical
manera,manner
estilo,style
mental,mental
momento,moment
rapido,rapid
beneficio,benefit
gustar,like
costoso,costly
planta,planta
masajear,massage
ahi,there
nervioso,highly strung
controlar,check
nervio,nerve
ansiedad,anxiety
interno,internal
producto,product
tranquilo,quiet
mano,hand
presion,pressure
huesero,bone setter
impacto,impact
facilidad,ease
funcionar,work
molestia,discomfort
mecanismo,mechanism
autocurativo,self-healing
cdo,cdo
invasivo,invasive
migrana,migrain
motivo,reason
constante,constant
limpiar,clean
internamente,internally
desestresante,stress-relieving
pais,pais
peru,peru
asalto,assault
balacero,shootout
documental,documentary
explicar,explain
acompano,accompany
basar,base
reflejas,reflect
esperar,wait
deldolor,pain
tranquilidad,tranquillity
eliminacion,elimination
toxina,toxin
circulacion,circulation
cabeza,head
consistir,consist
serie,serie
aliviado,relieved
representado,represented
adolorido,sore
empezar,begin
reflejo,reflection
reflexologo,reflexologist
cometer,commit
exceso,exception
comida,food
bebida,drink
ultimo,last
insoportable,unbearable
primero,first
bajar,lower
notablemente,notably
cubrir,cover
generar,trigger
depender,depend
terminacion,termination
estabilidad,stability
adverso,adverse
hormonal,hormonal
mostrar,show
externo,external
ejemplo,example
tomo,intake
comunicar,communicate
reaccion,reaction
aun,aun
dios,God
diseno,design
optimo,best
alimentacion,feeding
correcto,correct
actitud,attitude
dieta,diet
suplemento,supplement
dxn,dxn
ganoderma,ganoderma
spirulina,spirulina
morinzyme,morinzyme
cordyceps,cordyceps
vital,vital
requerir,require
mantenimiento,maintenance
conocimiento,knowledge
agua,water
hidroterapia,hydrotherapy
temperatura,temperature
caliente,caliente
recuperacion,recovery
ejercicio,exercise
rehabilitacion,rehabilitation
propiedad,property
proporcionar,provide
flexibilidad,flexibility
natacion,status
activo,asset
bajo,low
fortalecimiento,strengthening
complemento,complement
calidad,quality
evidencia,evidence
soltar,release
emocional,emotional
drenar,drain
purificar,purify
ayudo,help
naturalmente,naturally
gran,big
